"id","code","name"
1353,C16229,기타 건축용 나무제품 제조업
1354,C16231,목재 깔판류 및 기타 적재판 제조업
1355,C16232,"목재 포장용 상자, 드럼 및 유사용기 제조업"
1356,C16291,목재 도구 및 주방용 나무제품 제조업
1357,C16292,장식용 목제품 제조업
1358,C16299,그 외 기타 나무제품 제조업
1359,C16300,코르크 및 조물제품 제조업
1360,C17101,펄프 제조업
1361,C17102,신문용지 제조업
1362,C17103,인쇄용 및 필기용 원지 제조업
1363,C17104,골판지 원지 제조업
1364,C17105,크라프트지 및 기타 상자용 판지 제조업
1365,C17106,위생용 원지 제조업
1366,C17109,기타 종이 및 판지 제조업
1367,C17211,골판지 제조업
1368,C17212,골판지 상자 및 가공제품 제조업
1369,C17221,종이 포대 및 가방 제조업
1370,C17222,판지 상자 및 용기 제조업
1371,C17223,식품 위생용 종이 상자 및 용기 제조업
1372,C17229,기타 종이 상자 및 용기 제조업
1373,C17901,문구용 종이제품 제조업
1374,C17902,위생용 종이제품 제조업
1375,C17903,벽지 및 장판지 제조업
1376,C17904,"적층, 합성 및 특수 표면처리 종이 제조업"
1377,C17909,그 외 기타 종이 및 판지 제품 제조업
1378,C18111,경 인쇄업
1379,C18112,스크린 인쇄업
1380,C18113,오프셋 인쇄업
1381,C18119,기타 인쇄업
1382,C18121,제판 및 조판업
1383,C18122,제책업
1384,C18129,기타 인쇄관련 산업
1385,C18200,기록매체 복제업
1386,C19100,코크스 및 연탄 제조업
1387,C19210,원유 정제처리업
1388,C19221,윤활유 및 그리스 제조업
1389,C19229,기타 석유정제물 재처리업
1390,C20111,석유화학계 기초 화학물질 제조업
1391,C20112,바이오매스계 기초 화학물질 제조업
1392,C20119,기타 기초 유기화학 물질 제조업
1393,C20121,수소 제조업
1394,C20122,"산소, 질소 및 기타 산업용 가스 제조업"
1395,C20129,기타 기초 무기 화학물질 제조업
1396,C20131,무기안료용 금속 산화물 및 관련 제품 제조업
1397,C20132,"염료, 조제 무기안료, 유연제 및 기타 착색제 제조업"
1398,C20201,합성고무 제조업
1399,C20202,합성수지 및 기타 플라스틱 물질 제조업
1400,C20203,혼성 및 재생 플라스틱 소재 물질 제조업
1401,C20311,"질소화합물, 질소, 인산 및 칼리질 화학비료 제조업"
1402,C20312,복합비료 및 기타 화학비료 제조업
1403,C20313,유기질 비료 및 상토 제조업
1404,C20321,화학 살균ㆍ살충제 및 농업용 약제 제조업
1405,C20322,생물 살균ㆍ살충제 및 식물보호제 제조업
1406,C20411,일반용 도료 및 관련제품 제조업
1407,C20412,요업용 도포제 및 관련제품 제조업
1408,C20413,인쇄잉크 및 회화용 물감 제조업
1409,C20421,계면활성제 제조업
1410,C20422,"치약, 비누 및 기타 세제 제조업"
1411,C20423,화장품 제조업
1412,C20424,표면광택제 및 실내가향제 제조업
1413,C20491,감광재료 및 관련 화학제품 제조업
1414,C20492,가공 및 정제염 제조업
1415,C20493,접착제 및 젤라틴 제조업
1416,C20494,화약 및 불꽃제품 제조업
1417,C20495,바이오 연료 및 혼합물 제조업
1418,C20499,그 외 기타 분류 안된 화학제품 제조업
1419,C20501,합성섬유 제조업
1420,C20502,재생섬유 제조업
1421,C21100,기초 의약 물질 제조업
1422,C21211,생물 의약품 제조업
1423,C21212,합성의약품 및 기타 완제 의약품 제조업
1424,C21220,한의약품 제조업
1425,C21230,동물용 의약품 제조업
1426,C21301,체외 진단 시약 제조업
1427,C21309,그 외 기타 의료용품 및 의약 관련제품 제조업
1428,C22110,고무 타이어 및 튜브 제조업
1429,C22191,고무패킹류 제조업
